"sku","uploaded_name","source_rows","uploaded_qty","uploaded_subtotal","derived_unit_cost","tribunal_repo_status","tribunal_parent_items","tribunal_installed_prices","review_note","recommended_action"
"59009035","DX-300-M 300w Transformer w/ Astronomical Timer Matte Gray","1","1","379.21","379.21000","COMPONENT","better-dx — DX 300W Transformer","1072","Manufacturer SKU is stored only inside the sellable assembly","Create/link inventory component; keep assembly sell price"
"59009050","EX-150-SS 150w Transformer Stainless Steel","1","1","177.97","177.97000","COMPONENT","ess-ex — EX 150W Transformer","504","Manufacturer SKU is stored only inside the sellable assembly","Create/link inventory component; keep assembly sell price"
"59203512","M-PL-1LED-FB Path Light Black","1","1","180.44","180.44000","COMPONENT","better-mod-path — Modern Path Light","511","Name is compatible","Create/link inventory component; keep assembly sell price"
"59205842","TM-LED-20W-18R-FB Path Light Black","1","5","487.19","97.43800","COMPONENT","better-path — Pathway Light; ess-path — Pathway Light","376; 376","Invoice subtotal implies hidden fractional unit cost","Use subtotal-derived cost; link to both tier assemblies"
"59213082","CA-51-P4WFL-FB CORA ACCENT BLACK","1","1","99.40","99.40000","COMPONENT","best-zd-down — ZD Down Light","528","Tribunal component description says ZD Down Light Body; uploaded vendor name says CORA Accent","Verify assembly orientation/description before linking"
"59213092","CA-51-E6WWF-FB CORA ACCENT BLACK","2","2","177.34","88.67000","COMPONENT","best-zd-up — ZD Uplight; better-accent — Accent Uplight","411; 386","Duplicate source row aggregated to one SKU with quantity 2","Create one inventory item; link to both assemblies"
"59213350","CN-51-E6WFL-CW-FB CORA IN-GRADE BLACK","1","1","89.01","89.01000","MISSING","","","Near but not equal to Tribunal component 59213370","Add as candidate item; do not auto-match to 59213370"
"59213632","HC-LED-TA-FB Top Assembly Black","1","1","56.50","56.50000","COMPONENT","best-zdc-path2 — ZDC Path Light; best-zd-path — ZD Path Light","1001; 580","One Tribunal assembly uses a generic Path Light Top Assembly description","Create/link component; normalize assembly descriptions"
"59213710","CN-73-E9-W-FL-LG-FB CORA WELL BLACK","1","1","144.17","144.17000","MISSING","better-well currently uses placeholder component CN-73 — Well Light","514","Likely candidate for the placeholder but not an exact SKU match","Verify then replace/link placeholder deliberately"
"59214042","EA-51-E-4W-FL-BC EVO ACCENT BLACK COMP","1","1","41.70","41.70000","COMPONENT","ess-accent — EVO Accent Uplight","172","Name is compatible","Create/link inventory component; keep assembly sell price"
"59272804","SRP-40-W 40 ft Strip Light Warm White","1","1","608.27","608.27000","MISSING","","","No corresponding Tribunal SKU or assembly component found","Add as a new candidate product after confirming service and unit"
"59303512","M-PL-ZD-1LED-FB Path Light Black","1","1","199.84","199.84000","COMPONENT","best-zd-mod-path — ZD Modern Path Light","566","Name is compatible","Create/link inventory component; keep assembly sell price"
"59304101","VO-ZD-1LED-RD-SS ROUND FACE","1","1","211.43","211.43000","MISSING","","","No corresponding Tribunal SKU found","Add as new candidate after confirming fixture type"
"59306832","PO-ZD-1LED-RD-FB Wall Light Black","1","1","166.76","166.76000","CATALOG_AND_COMPONENT","59306832 — FX PO ZD Round Core-Drilled Wall Light — Black","775","Uploaded cost exactly matches Tribunal attributes.unit_cost","Keep installed sell price 775; update current unit cost from vendor evidence"
"59308530","ZD MR-16 5-Watt Warm Flood LED Lamp","1","1","56.76","56.76000","COMPONENT","best-zd-up — ZD Uplight; best-zd-down — ZD Down Light; best-cora-in-grade — ZD In-Grade Uplight","411; 528; 436","Shared lamp component","Create one inventory item; link to all three assemblies"
"59311122","P-ZD-1LED-18RA-FB Path Light 18 in Riser Black","1","1","148.52","148.52000","COMPONENT","best-zd-path — ZD Path Light","580","Name is compatible","Create/link inventory component; keep assembly sell price"
"59320292","NP-ZD-9LED-LS-FB Up Light Black","1","4","887.18","221.79500","MISSING","","","Near but not equal to Tribunal component 59320262; invoice subtotal implies hidden fractional unit cost","Add as candidate; do not auto-match to 59320262"
"59400232","NP-ZDC-FB Up Light Black","1","10","2775.87","277.58700","COMPONENT","best-zdc-up — ZDC Color Uplight","785","Invoice subtotal implies hidden fractional unit cost","Use subtotal-derived cost; link to assembly"
"59403532","M-PL-ZDC-FB Path Light Black","1","7","1992.77","284.68143","COMPONENT","best-zdc-mod-path — ZDC Modern Color Path Light","805","Invoice subtotal implies hidden fractional unit cost","Use subtotal-derived cost; link to assembly"
"59407330","LL-ZDC-BS UNDERWATER LIGHT","1","3","1123.10","374.36667","CATALOG_AND_COMPONENT","59407330 — FX LL ZDC Underwater Light — Brass","1295","Displayed unit cost rounds to existing 374.37; subtotal preserves hidden precision","Keep installed sell price 1295; use subtotal-derived current cost"
"59409010","WIFI-MOD-2 Luxor Wi-Fi Module","1","1","168.45","168.45000","COMPONENT","best-luxor — Luxor Smart 300W Transformer","2266","Shared assembly component","Create/link inventory component; keep assembly sell price"
"59409312","LUX-300-M LUXOR 2.0 300W XFMR","1","1","910.56","910.56000","COMPONENT","best-luxor — Luxor Smart 300W Transformer","2266","Shared assembly component","Create/link inventory component; keep assembly sell price"
"59412322","G-ZDC-18RA-FB 18 in Riser Black","1","1","297.57","297.57000","COMPONENT","best-zdc-path2 — ZDC Path Light","1001","Tribunal component description says ZDC Path Light Body Black; uploaded vendor name says 18 in Riser","Verify and correct assembly component description"
"59413032","XA-70-ZDC-WF-FB ACCENT LIGHT BLACK","1","1","340.67","340.67000","COMPONENT","best-zdc-down — ZDC Down Light","963","Tribunal assembly describes this accent fixture by installed downlight role","Verify role label; SKU itself matches"
