"record_status","record_type","service_line","internal_sku","supplier_item_name","tribunal_item_name","category","stock_uom","purchase_uom","units_per_purchase","current_purchase_price","current_unit_cost","cost_confidence","source_quantity","source_subtotal","quantity_on_hand","ownership","consumption_behavior","package_option","package_tags","item_tags","vendor","vendor_sku","external_variant_id","pricing_behavior","bom_rule","source_url","notes"
"VERIFIED","inventory_item","landscape","59009035","DX-300-M 300w Transformer w/ Astronomical Timer Matte Gray","DX 300W Transformer","transformer","each","each","1","379.21000","379.21000","SOURCE_DERIVED","1","379.21","","sold_to_customer","consume","Better — The Professional","better","landscape;FX-Luminaire;transformer;better","","59009035","","inventory_cost","","","Supplier cost only; Tribunal installed assembly price is $1,072"
"VERIFIED","inventory_item","landscape","59009050","EX-150-SS 150w Transformer Stainless Steel","EX 150W Transformer","transformer","each","each","1","177.97000","177.97000","SOURCE_DERIVED","1","177.97","","sold_to_customer","consume","Good — The Starter","essential","landscape;FX-Luminaire;transformer;essential","","59009050","","inventory_cost","","","Supplier cost only; Tribunal installed assembly price is $504"
"VERIFIED","inventory_item","landscape","59203512","M-PL-1LED-FB Path Light Black","Modern Path Light","fixture","each","each","1","180.44000","180.44000","SOURCE_DERIVED","1","180.44","","sold_to_customer","consume","Better — The Professional","better","landscape;FX-Luminaire;fixture;better","","59203512","","inventory_cost","","","Supplier cost only; Tribunal installed assembly price is $511"
"VERIFIED","inventory_item","landscape","59205842","TM-LED-20W-18R-FB Path Light Black","Pathway Light","fixture","each","each","1","97.43800","97.43800","SOURCE_DERIVED","5","487.19","","sold_to_customer","consume","Good — The Starter | Better — The Professional","essential;better","landscape;FX-Luminaire;fixture;essential;better","","59205842","","inventory_cost","","","Shared by Starter and Professional; subtotal-derived cost preserves invoice total; installed price is $376"
"VERIFIED","inventory_item","landscape","59213082","CA-51-P4WFL-FB CORA ACCENT BLACK","ZD Down Light","fixture","each","each","1","99.40000","99.40000","SOURCE_DERIVED","1","99.40","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59213082","","inventory_cost","","","Tribunal uses the installed role ZD Down Light; supplier calls the body CORA Accent; assembly price is $528"
"VERIFIED","inventory_item","landscape","59213092","CA-51-E6WWF-FB CORA ACCENT BLACK","ZD Uplight | Accent Uplight","fixture","each","each","1","88.67000","88.67000","SOURCE_DERIVED","2","177.34","","sold_to_customer","consume","Best — The Premier | Better — The Professional","best;better","landscape;FX-Luminaire;fixture;best;better","","59213092","","inventory_cost","","","Two identical source rows aggregated; installed assembly prices are $411 and $386"
"VERIFIED","inventory_item","landscape","59213350","CN-51-E6WFL-CW-FB CORA IN-GRADE BLACK","CORA In-Grade | ZD In-Grade Uplight","fixture","each","each","1","89.01000","89.01000","SOURCE_DERIVED","1","89.01","","sold_to_customer","consume","Good — The Starter | Best — The Premier","essential;best","landscape;FX-Luminaire;fixture;essential;best","","59213350","","inventory_cost","","","Base CORA In-Grade belongs in Starter; Premier ZD option pairs this fixture with ZD lamp SKU 59308530; Tribunal currently references SKU 59213370 and needs synchronization"
"VERIFIED","inventory_item","landscape","59213632","HC-LED-TA-FB Top Assembly Black","ZDC Path Light | ZD Path Light — top assembly","fixture_component","each","each","1","56.50000","56.50000","SOURCE_DERIVED","1","56.50","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture-component;best","","59213632","","inventory_cost","","","Shared by two Premier path-light assemblies priced at $1,001 and $580"
"VERIFIED","inventory_item","landscape","59213710","CN-73-E9-W-FL-LG-FB CORA WELL BLACK","CORA Well Light","fixture","each","each","1","144.17000","144.17000","SOURCE_DERIVED","1","144.17","","sold_to_customer","consume","Better — The Professional","better","landscape;FX-Luminaire;fixture;better","","59213710","","inventory_cost","","","Professional package because this fixture does not have ZD; replace Tribunal placeholder CN-73 when the catalog is synchronized; current assembly price is $514"
"VERIFIED","inventory_item","landscape","59214042","EA-51-E-4W-FL-BC EVO ACCENT BLACK COMP","EVO Accent Uplight","fixture","each","each","1","41.70000","41.70000","SOURCE_DERIVED","1","41.70","","sold_to_customer","consume","Good — The Starter","essential","landscape;FX-Luminaire;fixture;essential","","59214042","","inventory_cost","","","Supplier cost only; Tribunal installed assembly price is $172"
"VERIFIED","inventory_item","landscape","59272804","SRP-40-W 40 ft Strip Light Warm White","Warm White Strip Light","strip_light","ft","each","40","608.27000","","NEEDS_VERIFICATION","1","608.27","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;strip-light;best","","59272804","","inventory_cost","","","Premier package; confirm whether $608.27 buys one 40-foot unit before inventory valuation; Tribunal catalog item still needs synchronization; per-foot unit cost remains blank until the 40-ft purchase unit is confirmed"
"VERIFIED","inventory_item","landscape","59303512","M-PL-ZD-1LED-FB Path Light Black","ZD Modern Path Light","fixture","each","each","1","199.84000","199.84000","SOURCE_DERIVED","1","199.84","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59303512","","inventory_cost","","","Supplier cost only; Tribunal installed assembly price is $566"
"VERIFIED","inventory_item","landscape","59304101","VO-ZD-1LED-RD-SS ROUND FACE","Silver Wall Light","fixture","each","each","1","211.43000","211.43000","SOURCE_DERIVED","1","211.43","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59304101","","inventory_cost","","","Tribunal display name confirmed as Silver Wall Light; Premier package; catalog item still needs synchronization"
"VERIFIED","inventory_item","landscape","59306832","PO-ZD-1LED-RD-FB Wall Light Black","FX PO ZD Round Core-Drilled Wall Light — Black","fixture","each","each","1","166.76000","166.76000","SOURCE_DERIVED","1","166.76","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59306832","","inventory_cost","","","Supplier cost exactly matches Tribunal unit cost; installed selling price remains $775"
"VERIFIED","inventory_item","landscape","59308530","ZD MR-16 5-Watt Warm Flood LED Lamp","ZD MR16 5W Lamp","lamp_module","each","each","1","56.76000","56.76000","SOURCE_DERIVED","1","56.76","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;lamp-module;best","","59308530","","inventory_cost","","","Shared lamp used by three Premier assemblies"
"VERIFIED","inventory_item","landscape","59311122","P-ZD-1LED-18RA-FB Path Light 18 in Riser Black","ZD Path Light — 18in riser","fixture_component","each","each","1","148.52000","148.52000","SOURCE_DERIVED","1","148.52","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture-component;best","","59311122","","inventory_cost","","","Supplier cost only; Tribunal installed assembly price is $580"
"VERIFIED","inventory_item","landscape","59320292","NP-ZD-9LED-LS-FB Up Light Black","ZD Narrow Beam Accent","fixture","each","each","1","221.79500","221.79500","SOURCE_DERIVED","4","887.18","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59320292","","inventory_cost","","","Tribunal display name and Premier package confirmed; Tribunal currently references SKU 59320262 and needs synchronization; subtotal-derived cost preserves invoice total; current assembly price is $556"
"VERIFIED","inventory_item","landscape","59400232","NP-ZDC-FB Up Light Black","ZDC Color Uplight","fixture","each","each","1","277.58700","277.58700","SOURCE_DERIVED","10","2775.87","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59400232","","inventory_cost","","","Subtotal-derived cost preserves invoice total; Tribunal installed assembly price is $785"
"VERIFIED","inventory_item","landscape","59403532","M-PL-ZDC-FB Path Light Black","ZDC Modern Color Path Light","fixture","each","each","1","284.68143","284.68143","SOURCE_DERIVED","7","1992.77","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59403532","","inventory_cost","","","Subtotal-derived cost preserves invoice total; Tribunal installed assembly price is $805"
"VERIFIED","inventory_item","landscape","59407330","LL-ZDC-BS UNDERWATER LIGHT","FX LL ZDC Underwater Light — Brass","fixture","each","each","1","374.36667","374.36667","SOURCE_DERIVED","3","1123.10","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59407330","","inventory_cost","","","Subtotal-derived cost preserves invoice total; installed selling price remains $1,295"
"VERIFIED","inventory_item","landscape","59409010","WIFI-MOD-2 Luxor Wi-Fi Module","Luxor WiFi Module","controller_module","each","each","1","168.45000","168.45000","SOURCE_DERIVED","1","168.45","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;controller-module;best","","59409010","","inventory_cost","","","Component of Tribunal Luxor Smart 300W Transformer assembly priced at $2,266"
"VERIFIED","inventory_item","landscape","59409312","LUX-300-M LUXOR 2.0 300W XFMR","Luxor Smart 300W Transformer","transformer","each","each","1","910.56000","910.56000","SOURCE_DERIVED","1","910.56","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;transformer;best","","59409312","","inventory_cost","","","Component of Tribunal Luxor Smart 300W Transformer assembly priced at $2,266"
"VERIFIED","inventory_item","landscape","59412322","G-ZDC-18RA-FB 18 in Riser Black","ZDC Path Light — 18in riser","fixture_component","each","each","1","297.57000","297.57000","SOURCE_DERIVED","1","297.57","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture-component;best","","59412322","","inventory_cost","","","Tribunal component description currently says ZDC Path Light Body Black; supplier identifies an 18in riser; assembly price is $1,001"
"VERIFIED","inventory_item","landscape","59413032","XA-70-ZDC-WF-FB ACCENT LIGHT BLACK","ZDC Down Light","fixture","each","each","1","340.67000","340.67000","SOURCE_DERIVED","1","340.67","","sold_to_customer","consume","Best — The Premier","best","landscape;FX-Luminaire;fixture;best","","59413032","","inventory_cost","","","Tribunal names the installed orientation Down Light; supplier calls the fixture Accent Light; assembly price is $963"
