"record_status","record_type","internal_sku","inventory_item","tribunal_item_name","category","unit","current_unit_cost","cost_confidence","quantity_on_hand","package_option","package_tags","item_tags","ownership","consumption_behavior","primary_item","multicolor_role","pricing_behavior","vendor","vendor_sku","cost_source","active","notes"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-5MM-WW-70-4","Warm White 70ct 4in","5MM LED Mini Light Strand — Warm White, 70ct, 4in Spacing","5MM Lights","strand","11.984","EXACT","","Classic / Better — The Classic | Premier / Best — The Premier","classic;premier","christmas;leased;company-owned;5mm;mini-lights;70ct;4-in-spacing;warm-white;primary","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Primary 5MM strand; count by strand; assign to job then inspect and return to storage"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-5MM-RED-70-4","Red 70ct 4in","5MM LED Mini Light Strand — Red, 70ct, 4in Spacing","5MM Lights","strand","11.984","EXACT","","Classic / Better — The Classic | Premier / Best — The Premier","classic;premier","christmas;leased;company-owned;5mm;mini-lights;70ct;4-in-spacing;red;multicolor-component","company_owned","checkout_return","no","component","inventory_cost","Ewing","","Ewing quote","yes","Multicolor component; do not create a separate multicolor SKU"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-5MM-GREEN-70-4","Green 70ct 4in","5MM LED Mini Light Strand — Green, 70ct, 4in Spacing","5MM Lights","strand","11.984","EXACT","","Classic / Better — The Classic | Premier / Best — The Premier","classic;premier","christmas;leased;company-owned;5mm;mini-lights;70ct;4-in-spacing;green;multicolor-component","company_owned","checkout_return","no","component","inventory_cost","Ewing","","Ewing quote","yes","Multicolor component; do not create a separate multicolor SKU"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-5MM-BLUE-70-4","Blue 70ct 4in","5MM LED Mini Light Strand — Blue, 70ct, 4in Spacing","5MM Lights","strand","11.984","EXACT","","Classic / Better — The Classic | Premier / Best — The Premier","classic;premier","christmas;leased;company-owned;5mm;mini-lights;70ct;4-in-spacing;blue;multicolor-component","company_owned","checkout_return","no","component","inventory_cost","Ewing","","Ewing quote","yes","Multicolor component; do not create a separate multicolor SKU"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-5MM-YELLOW-70-4","Yellow 70ct 4in","5MM LED Mini Light Strand — Yellow, 70ct, 4in Spacing","5MM Lights","strand","11.984","EXACT","","Classic / Better — The Classic | Premier / Best — The Premier","classic;premier","christmas;leased;company-owned;5mm;mini-lights;70ct;4-in-spacing;yellow;multicolor-component","company_owned","checkout_return","no","component","inventory_cost","Ewing","","Ewing quote","yes","Multicolor component; do not create a separate multicolor SKU"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-5MM-ORANGE-70-4","Orange 70ct 4in","5MM LED Mini Light Strand — Orange, 70ct, 4in Spacing","5MM Lights","strand","11.984","EXACT","","Classic / Better — The Classic | Premier / Best — The Premier","classic;premier","christmas;leased;company-owned;5mm;mini-lights;70ct;4-in-spacing;orange;multicolor-component","company_owned","checkout_return","no","component","inventory_cost","Ewing","","Ewing quote","yes","Multicolor component; do not create a separate multicolor SKU"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-C9-WW-SB-BULB","Warm White Superbrite Bulb","C9 Superbrite LED Bulb — Warm White","C9","each","0.6848","EXACT","","Essential / Good — The Essential | Classic / Better — The Classic | Premier / Best — The Premier","essential;classic;premier","christmas;leased;company-owned;C9;bulb;warm-white;superbrite;roofline","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","At 15in spacing use 0.8 bulbs per roofline foot; inspect and replace failed bulbs after takedown"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-C9-SOCKET-GRN-15","15in Green Socket Wire","C9 Green Socket Wire — 15in Spacing","C9","linear_ft","0.261","EXACT","","Essential / Good — The Essential | Classic / Better — The Classic | Premier / Best — The Premier","essential;classic;premier","christmas;leased;company-owned;C9;socket-wire;green;15-in-spacing;roofline;cut-to-job","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Track bulk footage before cutting and customer-specific assemblies after cutting"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-C9-TOUGH-CLIP","Tough Clip","C9 Tough Clip","C9","each","0.29","APPROXIMATE","","Essential / Good — The Essential | Classic / Better — The Classic | Premier / Best — The Premier","essential;classic;premier","christmas;leased;company-owned;C9;tough-clip;roofline;hardware","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote / approximate","yes","Budget 0.8 clips per roofline foot at 15in spacing; expect breakage and loss attrition"
"VERIFIED_DERIVED","cost_rule","XMAS-C9-ASSEMBLY-RAW","Complete C9 Assembly","C9 Roofline Assembly — Raw Material Cost","C9 Derived Cost","linear_ft","1.04","APPROXIMATE","","Essential / Good — The Essential | Classic / Better — The Classic | Premier / Best — The Premier","essential;classic;premier","christmas;C9;roofline;assembly;raw-material-cost;non-stock","not_applicable","cost_rule","no","not_multicolor","estimate_only_non_stock","","","Derived calculation","yes","Non-stock rule; approximate formula is socket wire $0.261 + 0.8 bulb × $0.6848 + 0.8 clip × ~$0.29 = $1.04084 per ft"
"VERIFIED_DERIVED","cost_rule","XMAS-C9-COGS-BUDGET","C9 Budgeted COGS","C9 Roofline Budgeted Material COGS","C9 Derived Cost","linear_ft","1.15","BUDGET","","Essential / Good — The Essential | Classic / Better — The Classic | Premier / Best — The Premier","essential;classic;premier","christmas;C9;roofline;budgeted-COGS;waste-buffer;non-stock","not_applicable","cost_rule","no","not_multicolor","estimate_cogs_non_stock","","","User-confirmed estimating rule","yes","Use for estimates instead of raw component sum; 250 ft = $287.50; never receive or count this as physical inventory"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-WIRE-GREEN-NOSOCKET","No-Socket Green Wire","Green No-Socket Extension Wire","Electrical","linear_ft","0.1935","EXACT","","Christmas — Shared Infrastructure","essential;classic;premier;shared","christmas;leased;company-owned;electrical;green-wire;no-socket;extension;shared;cut-to-job","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Track bulk footage before cutting and customer-specific extension assemblies after cutting"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-PLUG-MALE-GREEN-10A","Male Plug 10A Green","Green Male Plug — 10A","Electrical","each","0.72","EXACT","","Christmas — Shared Infrastructure","essential;classic;premier;shared","christmas;leased;company-owned;electrical;male-plug;10A;green;shared","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Installed on reusable customer-specific extension assemblies; expect loss and damage attrition"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-PLUG-FEMALE-GREEN-10A","Female Plug 10A Green","Green Female Plug — 10A","Electrical","each","0.72","EXACT","","Christmas — Shared Infrastructure","essential;classic;premier;shared","christmas;leased;company-owned;electrical;female-plug;10A;green;shared","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Installed on reusable customer-specific extension assemblies; expect loss and damage attrition"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-TIMER-HD-DIGITAL-2","HD Outdoor Digital Timer 2-Outlet","Heavy-Duty Outdoor Digital Timer — 2 Outlet","Controls","each","27.00","EXACT","","Christmas — Shared Infrastructure","essential;classic;premier;shared","christmas;leased;company-owned;control;digital-timer;outdoor;2-outlet;standard;shared","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Standard Christmas timer; analog timers excluded unless later added as a separate SKU"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-GARLAND-PRELIT-9","9ft Pre-lit Garland","9-Foot Pre-Lit Garland","Greenery","each","90.00","APPROXIMATE","","Premier / Best — The Premier","premier","christmas;leased;company-owned;greenery;garland;pre-lit;9-ft;premier","company_owned","checkout_return","yes","not_multicolor","inventory_cost","","","User-confirmed approximate cost","yes","Unlit greenery excluded; inspect lights, frame, and foliage condition after takedown"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-WREATH-PRELIT-36-100","36in Pre-lit Wreath 100 LED","36-Inch Pre-Lit Wreath — 100 LED","Greenery","each","99.00","EXACT","","Premier / Best — The Premier","premier","christmas;leased;company-owned;greenery;wreath;pre-lit;36-in;100-LED;premier","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Track by size and inspect frame, foliage, lights, and hanging hardware after takedown"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-WREATH-PRELIT-48-200","48in Pre-lit Wreath 200 LED","48-Inch Pre-Lit Wreath — 200 LED","Greenery","each","197.00","EXACT","","Premier / Best — The Premier","premier","christmas;leased;company-owned;greenery;wreath;pre-lit;48-in;200-LED;premier","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Track by size and inspect frame, foliage, lights, and hanging hardware after takedown"
"NEEDS_PHYSICAL_COUNT","inventory_item","XMAS-WREATH-PRELIT-60-400","60in Pre-lit Wreath 400 LED","60-Inch Pre-Lit Wreath — 400 LED","Greenery","each","385.00","EXACT","","Premier / Best — The Premier","premier","christmas;leased;company-owned;greenery;wreath;pre-lit;60-in;400-LED;premier","company_owned","checkout_return","yes","not_multicolor","inventory_cost","Ewing","","Ewing quote","yes","Track by size and inspect frame, foliage, lights, and hanging hardware after takedown"
