"record_status","record_type","service_line","internal_sku","supplier_item_name","tribunal_item_name","category","stock_uom","purchase_uom","units_per_purchase","current_purchase_price","current_unit_cost","cost_confidence","source_quantity","source_subtotal","quantity_on_hand","ownership","consumption_behavior","package_option","package_tags","item_tags","vendor","vendor_sku","external_variant_id","pricing_behavior","bom_rule","source_url","notes"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-100W-D","RGBW+2 DEEP Pebble Complete Kit — 100 ft / White / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 100 ft, White, Dual Port WEC","complete_kit","kit","kit","1","1349.00","1349.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;100-ft;white;complete-kit","Minleon Permanent Lighting","KIT-CC-100W-D","46663235698855","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-100S-D","RGBW+2 DEEP Pebble Complete Kit — 100 ft / Sand / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 100 ft, Sand, Dual Port WEC","complete_kit","kit","kit","1","1349.00","1349.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;100-ft;sand;complete-kit","Minleon Permanent Lighting","KIT-CC-100S-D","46663235829927","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-100LB-D","RGBW+2 DEEP Pebble Complete Kit — 100 ft / Light Brown / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 100 ft, Light Brown, Dual Port WEC","complete_kit","kit","kit","1","1349.00","1349.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;100-ft;light-brown;complete-kit","Minleon Permanent Lighting","KIT-CC-100LB-D","48097754251431","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-100BR-D","RGBW+2 DEEP Pebble Complete Kit — 100 ft / Brown / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 100 ft, Brown, Dual Port WEC","complete_kit","kit","kit","1","1349.00","1349.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;100-ft;brown;complete-kit","Minleon Permanent Lighting","KIT-CC-100BR-D","46663235731623","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-100G-D","RGBW+2 DEEP Pebble Complete Kit — 100 ft / Grey / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 100 ft, Grey, Dual Port WEC","complete_kit","kit","kit","1","1349.00","1349.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;100-ft;grey;complete-kit","Minleon Permanent Lighting","KIT-CC-100G-D","46663235764391","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-100BK-D","RGBW+2 DEEP Pebble Complete Kit — 100 ft / Black / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 100 ft, Black, Dual Port WEC","complete_kit","kit","kit","1","1349.00","1349.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;100-ft;black;complete-kit","Minleon Permanent Lighting","KIT-CC-100BK-D","46663235797159","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-150W-D","RGBW+2 DEEP Pebble Complete Kit — 150 ft / White / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 150 ft, White, Dual Port WEC","complete_kit","kit","kit","1","1749.00","1749.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;150-ft;white;complete-kit","Minleon Permanent Lighting","KIT-CC-150W-D","46663235862695","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-150S-D","RGBW+2 DEEP Pebble Complete Kit — 150 ft / Sand / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 150 ft, Sand, Dual Port WEC","complete_kit","kit","kit","1","1749.00","1749.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;150-ft;sand;complete-kit","Minleon Permanent Lighting","KIT-CC-150S-D","46663235993767","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-150LB-D","RGBW+2 DEEP Pebble Complete Kit — 150 ft / Light Brown / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 150 ft, Light Brown, Dual Port WEC","complete_kit","kit","kit","1","1749.00","1749.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;150-ft;light-brown;complete-kit","Minleon Permanent Lighting","KIT-CC-150LB-D","48097754349735","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
"NEEDS_PHYSICAL_COUNT","inventory_item","permanent_holiday","KIT-CC-150BR-D","RGBW+2 DEEP Pebble Complete Kit — 150 ft / Brown / Dual Port WEC","Minleon RGBW+2 DEEP Pebble System — 150 ft, Brown, Dual Port WEC","complete_kit","kit","kit","1","1749.00","1749.00000","SNAPSHOT","","","","sold_to_customer","consume","Permanent Holiday Lighting — RGBW+2 DEEP Pebble","permanent_holiday;rgbw2;deep_pebble","permanent;holiday-lighting;Minleon;RGBW+2;DEEP-Pebble;dual-port-WEC;150-ft;brown;complete-kit","Minleon Permanent Lighting","KIT-CC-150BR-D","46663235895463","inventory_cost","Choose one complete kit per system","https://minleonpermanentlighting.com/products/100-ft-rgb-starter-pack-minleon-permanent-lighting-demo-kit","SNAPSHOT 2026-08-21: live Dual Port WEC variant and price verified; on-hand quantity not provided"
