"record_status","internal_sku","supplier_item_name","tribunal_item_name","tribunal_catalog_item_ids","tribunal_match_status","package_option","package_tags","package_assignment_status","item_type","tracking_method","service_lines","category","brand","manufacturer_model","vendor","vendor_sku","stock_uom","purchase_uom","units_per_purchase","current_unit_cost","source_rows","source_quantity","source_subtotal","quantity_on_hand","default_sell_price","ownership","consumption_behavior","serial_tracking","active","notes"
"VERIFIED","59009035","DX-300-M 300w Transformer w/ Astronomical Timer Matte Gray","DX 300W Transformer","better-dx","EXACT_COMPONENT","Better — The Professional","better","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","transformer","FX Luminaire","DX-300-M","","59009035","each","each","1","379.21000","1","1","379.21","","","sold_to_customer","consume","yes","yes","Supplier cost only; Tribunal installed assembly price is $1,072"
"VERIFIED","59009050","EX-150-SS 150w Transformer Stainless Steel","EX 150W Transformer","ess-ex","EXACT_COMPONENT","Good — The Starter","essential","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","transformer","FX Luminaire","EX-150-SS","","59009050","each","each","1","177.97000","1","1","177.97","","","sold_to_customer","consume","yes","yes","Supplier cost only; Tribunal installed assembly price is $504"
"VERIFIED","59203512","M-PL-1LED-FB Path Light Black","Modern Path Light","better-mod-path","EXACT_COMPONENT","Better — The Professional","better","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","M-PL-1LED-FB","","59203512","each","each","1","180.44000","1","1","180.44","","","sold_to_customer","consume","no","yes","Supplier cost only; Tribunal installed assembly price is $511"
"VERIFIED","59205842","TM-LED-20W-18R-FB Path Light Black","Pathway Light","better-path; ess-path","EXACT_COMPONENT","Good — The Starter | Better — The Professional","essential;better","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","TM-LED-20W-18R-FB","","59205842","each","each","1","97.43800","1","5","487.19","","","sold_to_customer","consume","no","yes","Shared by Starter and Professional; subtotal-derived cost preserves invoice total; installed price is $376"
"VERIFIED","59213082","CA-51-P4WFL-FB CORA ACCENT BLACK","ZD Down Light","best-zd-down","EXACT_COMPONENT_NAME_REVIEW","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","CA-51-P4WFL-FB","","59213082","each","each","1","99.40000","1","1","99.40","","","sold_to_customer","consume","no","yes","Tribunal uses the installed role ZD Down Light; supplier calls the body CORA Accent; assembly price is $528"
"VERIFIED","59213092","CA-51-E6WWF-FB CORA ACCENT BLACK","ZD Uplight | Accent Uplight","best-zd-up; better-accent","EXACT_COMPONENT","Best — The Premier | Better — The Professional","best;better","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","CA-51-E6WWF-FB","","59213092","each","each","1","88.67000","2","2","177.34","","","sold_to_customer","consume","no","yes","Two identical source rows aggregated; installed assembly prices are $411 and $386"
"VERIFIED","59213350","CN-51-E6WFL-CW-FB CORA IN-GRADE BLACK","CORA In-Grade | ZD In-Grade Uplight","ess-cora-in-grade (planned); best-cora-in-grade","USER_CONFIRMED_PACKAGE_CONFIG_DRIFT","Good — The Starter | Best — The Premier","essential;best","USER_CONFIRMED_NEEDS_TRIBUNAL_SYNC","material","quantity","landscape","fixture","FX Luminaire","CN-51-E6WFL-CW-FB","","59213350","each","each","1","89.01000","1","1","89.01","","","sold_to_customer","consume","no","yes","Base CORA In-Grade belongs in Starter; Premier ZD option pairs this fixture with ZD lamp SKU 59308530; Tribunal currently references SKU 59213370 and needs synchronization"
"VERIFIED","59213632","HC-LED-TA-FB Top Assembly Black","ZDC Path Light | ZD Path Light — top assembly","best-zdc-path2; best-zd-path","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture_component","FX Luminaire","HC-LED-TA-FB","","59213632","each","each","1","56.50000","1","1","56.50","","","sold_to_customer","consume","no","yes","Shared by two Premier path-light assemblies priced at $1,001 and $580"
"VERIFIED","59213710","CN-73-E9-W-FL-LG-FB CORA WELL BLACK","CORA Well Light","better-well","USER_CONFIRMED_PLACEHOLDER_MATCH","Better — The Professional","better","USER_CONFIRMED_NEEDS_TRIBUNAL_SYNC","material","quantity","landscape","fixture","FX Luminaire","CN-73-E9-W-FL-LG-FB","","59213710","each","each","1","144.17000","1","1","144.17","","","sold_to_customer","consume","no","yes","Professional package because this fixture does not have ZD; replace Tribunal placeholder CN-73 when the catalog is synchronized; current assembly price is $514"
"VERIFIED","59214042","EA-51-E-4W-FL-BC EVO ACCENT BLACK COMP","EVO Accent Uplight","ess-accent","EXACT_COMPONENT","Good — The Starter","essential","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","EA-51-E-4W-FL-BC","","59214042","each","each","1","41.70000","1","1","41.70","","","sold_to_customer","consume","no","yes","Supplier cost only; Tribunal installed assembly price is $172"
"VERIFIED","59272804","SRP-40-W 40 ft Strip Light Warm White","Warm White Strip Light","best-strip-light (planned)","USER_CONFIRMED_MISSING_FROM_TRIBUNAL","Best — The Premier","best","USER_CONFIRMED_NEEDS_TRIBUNAL_SYNC","material","length","landscape","strip_light","FX Luminaire","SRP-40-W","","59272804","ft","each","40","608.27000","1","1","608.27","","","sold_to_customer","consume","no","yes","Premier package; confirm whether $608.27 buys one 40-foot unit before inventory valuation; Tribunal catalog item still needs synchronization"
"VERIFIED","59303512","M-PL-ZD-1LED-FB Path Light Black","ZD Modern Path Light","best-zd-mod-path","EXACT_COMPONENT","Best — The Premier","best","CONFIRMED_FROM_TRIBUNAL","material","quantity","landscape","fixture","FX Luminaire","M-PL-ZD-1LED-FB","","59303512","each","each","1","199.84000","1","1","199.84","","","sold_to_customer","consume","no","yes","Supplier cost only; Tribunal installed assembly price is $566"
