"record_status","internal_sku","supplier_item_name","tribunal_item_name","bistro_installation_type","package_option","package_tags","item_tags","tribunal_match_status","item_type","tracking_method","service_lines","category","brand","vendor","vendor_sku","purchase_uom","units_per_purchase","stock_uom","current_purchase_price","current_unit_cost","quantity_on_hand","ownership","consumption_behavior","serial_tracking","active","specifications","verification_note","source_url"
"NEEDS_PHYSICAL_COUNT","B0DSPYBYM8","AHRLHR 6 Pack String Light Poles 10 ft Black","10-Foot Temporary Bistro Pole","temporary","Temporary Bistro — Shared Support","temporary_bistro;classic;color","temporary;rental;bistro;support-pole;10-ft;black;reusable;amazon","NEW_INVENTORY_COMPONENT","rental_asset","quantity","bistro","support_pole","AHRLHR","Amazon","B0DSPYBYM8","6-pack","6","each","49.99","8.33167","","company_owned","checkout_return","no","yes","Six adjustable 10-foot black metal poles with forked hooks; outdoor use","SNAPSHOT 2026-08-21: current listing price; actual purchase cost and on-hand pack count not provided","https://www.amazon.com/dp/B0DSPYBYM8"
"NEEDS_PHYSICAL_COUNT","B0B6NJ1GSK","Brightever 200FT Outdoor String Lights with 100+4 G40 Bulbs","200-Foot Classic Temporary Bistro Light Set","temporary","Temporary Bistro — Classic Warm White","temporary_bistro;classic","temporary;rental;bistro;classic;warm-white;2700K;200-ft;G40;dimmable;reusable;amazon","NEW_INVENTORY_COMPONENT","rental_asset","quantity","bistro","temporary_light_set","Brightever","Amazon","B0B6NJ1GSK","200-ft set","1","set","62.99","62.99000","","company_owned","checkout_return","no","yes","200 feet; 100 sockets; 100 G40 LED bulbs plus 4 spares; 2700K warm white; dimmable; connectable","SNAPSHOT 2026-08-21: current listing price; actual purchase cost and on-hand set count not provided","https://www.amazon.com/dp/B0B6NJ1GSK"
"NEEDS_PHYSICAL_COUNT","255C","Patio Light String E26 Medium Base 24-Inch Spacing With Suspensor 330 ft","Classic Permanent Bistro Socket Line — E26, 24-Inch Spacing","permanent","Permanent Bistro — Classic","permanent_bistro;classic","permanent;bistro;classic;socket-line;E26;24-in-spacing;suspensor;330-ft;cut-to-length","NEW_INVENTORY_COMPONENT","material","length","bistro","socket_line","Lightsatwholesale","Lights at Wholesale","255C","330-ft spool","330","ft","419.00","1.26970","","sold_to_customer","consume","no","yes","E26 medium base; 24-inch socket spacing; integrated suspensor; approximately 165 bulb positions per full spool","SNAPSHOT 2026-08-21: exact vendor variant and price verified; ordered spool count not provided","https://lightsatwholesale.com/products/patio-light-string-e27medium-base-24-spacing-with-suspensor-330?variant=35354788855976"
"NEEDS_PHYSICAL_COUNT","515C","Plastic S14 Vintage Warm White LED Patio Bulb E26 Base — 250/Case","S14 Warm-White LED Bistro Bulb — Shatterproof","permanent","Permanent Bistro — Classic","permanent_bistro;classic","permanent;bistro;classic;S14;E26;warm-white;LED;dimmable;shatterproof;outdoor","NEW_INVENTORY_COMPONENT","material","quantity","bistro","bulb","Lightsatwholesale","Lights at Wholesale","515C","250-bulb case","250","each","419.00","1.67600","","sold_to_customer","consume","no","yes","Plastic shatterproof S14 LED; E26 base; warm white; dimmable; indoor/outdoor","SNAPSHOT 2026-08-21: exact 250/case variant and price verified; bulb wattage and ordered case count not provided","https://lightsatwholesale.com/products/plastic-s14-vintage-warm-white-led-patio-bulb-e26-base?variant=45867305140439"
"NEEDS_PHYSICAL_COUNT","105P","SPT-2 Extension Wire 18/2 Zip Cord — 250 ft Black","Black SPT-2 Bistro Extension Wire","permanent","Permanent Bistro — Classic","permanent_bistro;classic","permanent;bistro;classic;SPT-2;18-2;black;extension-wire;250-ft;cut-to-length;shared-christmas","NEW_INVENTORY_COMPONENT","material","length","bistro","extension_wire","Lightsatwholesale","Lights at Wholesale","105P","250-ft spool","250","ft","89.00","0.35600","","sold_to_customer","consume","no","yes","Black SPT-2 18-gauge two-conductor wire; indoor/outdoor; rated 8A or 960W","SNAPSHOT 2026-08-21: exact 250-foot black variant and price verified; ordered spool count not provided","https://lightsatwholesale.com/products/zip-cord-spt-2?variant=45530068386007"
"NEEDS_PHYSICAL_COUNT","056P","Black SPT-2 Male Zip Plugs — 50/Pack","Black SPT-2 Male Zip Plug","permanent","Permanent Bistro — Classic","permanent_bistro;classic","permanent;bistro;classic;SPT-2;male-plug;black;polarized;50-pack;shared-christmas","NEW_INVENTORY_COMPONENT","material","quantity","bistro","connector","Lightsatwholesale","Lights at Wholesale","056P","50-pack","50","each","49.99","0.99980","","sold_to_customer","consume","no","yes","Black polarized two-prong male vampire plug for SPT-2 wire; indoor/outdoor","SNAPSHOT 2026-08-21: exact black 50/pack variant and price verified; ordered pack count not provided","https://lightsatwholesale.com/products/male-plugs-spt-2?variant=45532832366807"
"NEEDS_PHYSICAL_COUNT","062P","Black SPT-2 Female Zip Plugs With Knockout Tab — 50/Pack","Black SPT-2 Female Zip Plug — Knockout Tab","permanent","Permanent Bistro — Classic","permanent_bistro;classic","permanent;bistro;classic;SPT-2;female-plug;black;polarized;knockout-tab;50-pack;shared-christmas","NEW_INVENTORY_COMPONENT","material","quantity","bistro","connector","Lightsatwholesale","Lights at Wholesale","062P","50-pack","50","each","49.99","0.99980","","sold_to_customer","consume","no","yes","Black polarized female vampire plug with knockout tab for SPT-2 wire; indoor/outdoor","SNAPSHOT 2026-08-21: exact black 50/pack variant and price verified; ordered pack count not provided","https://lightsatwholesale.com/products/female-plugs-with-knockout-tab-spt-2?variant=45532861268183"
"NEEDS_PHYSICAL_COUNT","B0C1F3ZVXS","MONKEMON 1/16-Inch 304 Stainless Wire Rope 1000 ft With 300 Crimp Sleeves","1/16-Inch Stainless Bistro Support Cable","permanent","Permanent Bistro — Shared Support","permanent_bistro;classic;color","permanent;bistro;shared-support;classic;color;guide-wire;stainless-steel;1-16-inch;1000-ft;crimp-sleeves;cut-to-length","NEW_INVENTORY_COMPONENT","material","length","bistro","guide_wire","MONKEMON","Amazon","B0C1F3ZVXS","1000-ft kit","1000","ft","59.99","0.05999","","sold_to_customer","consume","no","yes","304 stainless; 7x7 strand; 1/16-inch diameter; 368-lb breaking strength; 300 aluminum sleeves included","SNAPSHOT 2026-08-21: current listing price; working-load limit, safety factor, actual purchase cost, and on-hand quantity require verification","https://www.amazon.com/dp/B0C1F3ZVXS"
"NEEDS_PHYSICAL_COUNT","B0CHMQW45X","TREATLIFE Outdoor Dimmer Plug With 100FT Wireless Remote","Outdoor Bistro Dimmer with Remote","permanent","Permanent Bistro — Classic","permanent_bistro;classic","permanent;bistro;classic;dimmer;remote;IP44;120V;LED-150W;controller;amazon","NEW_INVENTORY_COMPONENT","material","quantity","bistro","controller","TREATLIFE","Amazon","B0CHMQW45X","each","1","each","24.69","24.69000","","sold_to_customer","consume","no","yes","Model CA-DP10R; IP44; 100-foot remote range; 120V; maximum 150W dimmable LED or 400W incandescent; no timer or Wi-Fi; settings reset after power loss","NEEDS_LOAD_VERIFICATION: bulb wattage is unknown; a full 330-foot line has approximately 165 sockets and may exceed the dimmer's 150W LED limit","https://www.amazon.com/dp/B0CHMQW45X"
"NEEDS_PHYSICAL_COUNT","BISTRO-PERM-POLE-CONCRETE","Permanent Bistro Light Pole With Concrete","Permanent Bistro Pole with Concrete","permanent","Permanent Bistro — Shared Support","permanent_bistro;classic;color","permanent;bistro;shared-support;classic;color;support-pole;concrete;customer-owned","NEW_INVENTORY_COMPONENT","material","quantity","bistro","support_pole","","Internal/Local","BISTRO-PERM-POLE-CONCRETE","each","1","each","100.00","100.00000","","sold_to_customer","consume","no","yes","Permanent bistro support pole including concrete materials","USER_CONFIRMED_COST: $100 per completed pole with concrete; pole specification and on-hand quantity not provided",""
